,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
2731,Loud Luxury,I'm Not Alright,174167,2020-10-04 03:08:00,0.438,0.771,11,-3.876,1,0.0402,0.000535,0.00607,0.218,0.472,141.97,7JGHawrvcWIl3SqQAJpg1t,4
2732,Becky Hill,Better Off Without You (feat. Shift K3Y),188758,2020-10-04 03:11:00,0.682,0.855,7,-3.282,1,0.0401,0.0564,0.0,0.101,0.304,124.005,3oIVK7arAFuUOCGafPLxSC,4
2733,Steve Aoki,Crash Into Me,206564,2020-10-04 03:16:00,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,1HL3yEnYq8LEyFQ3QegA5V,4
2736,DVBBS,Somebody Like You,163278,2020-10-04 03:24:00,0.625,0.84,4,-5.768,1,0.0337,0.109,0.000555,0.144,0.656,111.02,0b9djfiuDIMw1zKH6gV74g,4
2743,Jax Jones,All Day And Night,156115,2020-10-04 05:27:00,0.585,0.782,1,-4.101,0,0.0897,0.269,0.0,0.156,0.521,121.908,33CfD8UkDEcSdAP9j4QpUY,4
2745,Sam Feldt,Magnets (feat. Sophie Simmons),175082,2020-10-04 05:37:00,0.731,0.802,5,-4.763,1,0.0623,0.022,0.0,0.059,0.434,121.991,0jlpHhGUFn4aAWLsRRnwep,4
2746,Ava Max,Sweet but Psycho - Morgan Page Dance Remix,203484,2020-10-04 05:40:00,0.645,0.795,1,-5.439,1,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,1gwwks3lIsvJq5pDJ82fKK,4
2747,Gryffin,Remember (with ZOHARA),203857,2020-10-04 05:44:00,0.619,0.902,11,-4.157,0,0.0562,0.0953,0.0405,0.216,0.504,123.002,3aFxfpfeATHYg1n750dhgq,4
2749,Tyler Shaw,With You - Frank Walker Remix,202305,2020-10-04 05:51:00,0.687,0.612,2,-5.614,1,0.0692,0.0386,0.0,0.251,0.451,104.972,06Z7Hy2LUzbcSFmWzwkun1,4
2754,Alesso,TIME,103044,2020-10-04 06:18:00,0.677,0.688,0,-4.058,0,0.0633,0.138,0.0,0.114,0.198,98.049,6MxMqCgqmekcr0VwSU7AVH,4
2768,Rak-Su,Crush On You,7115,2020-10-05 03:19:00,0.777,0.834,1,-10.851,1,0.0574,0.0209,0.0976,0.0446,0.967,120.332,2sYLlZU3FuCF8SKNeIvdKA,4
2773,Rak-Su,Girl,203606,2020-10-05 03:36:00,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,4esOae7i4rqTbAu9o5Pxco,4
2776,Rak-Su,Blood Ties,185280,2020-10-05 04:29:00,0.82,0.456,11,-12.799,0,0.387,0.322,0.0,0.104,0.657,105.039,5vIKEqEWmwSD7fRAnhDh5e,4
2777,Rak-Su,Princess Peach,212172,2020-10-05 04:33:00,0.698,0.312,10,-10.9,0,0.0483,0.797,0.0,0.1,0.419,92.138,4w9soAM7IrmYDhSXLp14p6,4
2779,Rak-Su,Drunk Texting,7585,2020-10-05 04:36:00,0.523,0.477,0,-5.754,0,0.0731,0.185,0.0,0.266,0.372,68.975,1pxxlUuXMYbPSlIkolfp5J,4
2788,Normani,Motivation,193837,2020-10-06 03:15:00,0.735,0.679,9,-5.588,0,0.0431,0.18,0.000198,0.0766,0.264,140.858,4Cv5dkUBqepa0siwGREihD,4
2789,OneRepublic,Rescue Me,158899,2020-10-06 03:18:00,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038,37LNNQNbL1YLyutBG6aWRx,4
2794,Kygo,Like It Is,183067,2020-10-08 04:17:00,0.794,0.728,1,-6.759,1,0.114,0.121,8.82e-06,0.227,0.36,105.024,3frUvGrmGcay91lvFbOgsN,4
2796,5 Seconds of Summer,Youngblood - R3HAB Remix,150528,2020-10-08 04:22:00,0.425,0.771,7,-4.293,0,0.0629,0.0312,0.0,0.165,0.213,142.034,2vIzH4NfFGoJHA5rn1dFWT,4
2799,Rak-Su,Yours or Mine,179933,2020-10-09 04:12:00,0.269,0.453,2,-6.565,1,0.0336,0.35,0.0,0.155,0.148,113.708,4XF2Ov9YASRtluI79Y9PsT,4
2800,Rak-Su,Stick Around,145245,2020-10-09 04:25:00,0.369,0.45,11,-7.737,0,0.0411,0.478,6.97e-06,0.111,0.126,185.961,5VSlplWVGj9b3HBUJ7Gsnz,3
2802,BTS,Stay Gold,94910,2020-10-09 06:14:00,0.639,0.189,3,-14.239,1,0.0358,0.898,0.0,0.119,0.415,122.069,6QMYeuubL00KcXBXxS5Zhn,4
2809,Loote,85% - GOLDHOUSE Remix,245373,2020-10-09 07:15:00,0.7,0.841,4,-5.939,0,0.166,0.0305,4.16e-06,0.0859,0.341,127.997,0OUC0kWsQ3B99MspZfLaVy,4
2810,The Chainsmokers,This Feeling (feat. Kelsea Ballerini) - Afrojack & Disto Remix,207693,2020-10-09 07:19:00,0.607,0.942,10,-3.876,0,0.0857,0.000428,4.53e-05,0.111,0.164,150.074,1zZ8DfrLf4fQgARxIKOs20,4
2812,Samantha Harvey,Get To Know You,201666,2020-10-09 07:27:00,0.761,0.695,5,-4.048,1,0.0886,0.0783,0.0,0.14,0.69,118.004,3oiLlbBynuErymca4Dwp5H,4
2825,The Chainsmokers,Side Effects - Fedde Le Grand Remix,172360,2020-10-09 08:19:00,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,7FDaS1k08rwMoAThmzUkOZ,4
2826,Mike Perry,One Life,204591,2020-10-09 08:22:00,0.478,0.814,6,-4.482,0,0.173,0.228,0.0,0.22,0.375,173.856,2RK1l3XBrbn0w8qUiyCeJW,4
2844,Lennon Stella,La Di Da - Aaron Redding Remix,226506,2020-10-09 09:24:00,0.559,0.744,7,-5.71,1,0.0482,0.497,0.0,0.083,0.347,160.016,1ucpv4HFmmhcYZeMZxuB6i,4
2845,Drax Project,Woke Up Late (feat. Hailee Steinfeld),172237,2020-10-09 09:27:00,0.698,0.66,2,-5.429,0,0.083,0.043,0.0,0.186,0.351,119.214,4oPWkP9zQ5ANBbfdHGOvKF,4
2847,Why Don't We,Hooked,204906,2020-10-09 12:39:00,0.623,0.624,1,-5.469,1,0.0595,0.0941,0.0,0.119,0.347,180.016,2N2s2s2w0jmSIPNZcm8Jnr,4
2848,Why Don't We,Trust Fund Baby,43283,2020-10-09 12:40:00,0.624,0.785,8,-3.337,1,0.0498,0.0629,0.0,0.135,0.593,163.929,54j7EaJPDmSZYcNYvLSJ78,4
2852,Mike Williams,Face Up To The Sun,194827,2020-10-09 12:54:00,0.652,0.913,7,-4.055,1,0.0336,0.0784,0.000346,0.0533,0.595,125.992,1rWoVZYprb19V7qDTXhpJL,4
2854,Sam Smith,Diamonds - Acoustic,2220,2020-10-09 12:59:00,0.489,0.284,10,-8.699,0,0.0508,0.841,0.0,0.137,0.335,186.337,4y8OZW2dyWRobsi2w0C64W,4
2855,Sigala,Lasting Lover - Acoustic,113258,2020-10-09 12:59:00,0.554,0.378,1,-6.7,1,0.0302,0.868,0.0,0.11,0.319,124.862,0TGU6ELkO9MRv7aHL3QVrl,4
2856,Tony Junior,Odin,47293,2020-10-09 13:02:00,0.779,0.87,2,-9.187,1,0.052,0.521,0.479,0.133,0.42,95.001,274g0w6437QgHfyfUdc6Ak,4
2857,Brando,Don't Call Me - Galantis Remix,184076,2020-10-09 13:02:00,0.624,0.846,0,-4.201,1,0.0421,0.167,1.27e-06,0.393,0.467,122.985,6PMVAJwWESCP41PDbMSyOs,4
2858,Cash Cash,Love You Now (feat. Georgia Ku),175874,2020-10-09 13:06:00,0.433,0.808,6,-1.825,1,0.0616,0.0917,0.0,0.0599,0.279,160.214,5iXiXXgQU9SkVwdCO0hdZE,3
2859,Boy In Space,Therapy (with NOTD),168047,2020-10-09 13:09:00,0.562,0.844,1,-5.671,1,0.0385,0.137,0.0,0.188,0.686,135.929,1vn8b8pPm5KaBtjzPulozo,4
2860,Ellie Goulding,Slow Grenade - Syn Cole Remix,188571,2020-10-09 13:12:00,0.74,0.799,6,-4.836,0,0.0329,0.0131,8.77e-05,0.149,0.62,125.974,2eQ0KgjaudX9rEe7suSrtg,4
2861,Boyce Avenue,Careless Whisper,145098,2020-10-09 13:15:00,0.575,0.643,2,-8.854,0,0.0331,0.136,1.65e-06,0.249,0.789,152.854,5WDLRQ3VCdVrKw0njWe5E5,4
2862,Gryffin,Cry (with John Martin) - Majestic Remix,159677,2020-10-09 13:18:00,0.591,0.93,1,-3.534,1,0.0299,0.036,0.0,0.195,0.604,123.954,6ZBCtmCYtREHrlPJ66VjML,4
2863,Martin Jensen,Running Back To You,176796,2020-10-09 13:21:00,0.565,0.856,2,-4.857,1,0.0438,0.00269,1.76e-06,0.102,0.328,114.977,6Kfd3XrgqJ0M50O3Z5KN9c,4
2864,Sam Feldt,Use Your Love (feat. Goldford),174720,2020-10-09 13:24:00,0.712,0.776,6,-3.341,1,0.0802,0.401,0.0,0.296,0.659,124.977,5W05N4aETUauCVzddI8L66,4
2865,Halsey,I'm Not Mad,173467,2020-10-09 13:27:00,0.78,0.684,0,-5.758,1,0.0636,0.17,0.0,0.105,0.732,149.916,6SL8U8TtdwOtGhbmGzsMfX,4
2866,Steven Malcolm,Fuego (R3HAB Remix),103141,2020-10-09 13:29:00,0.779,0.928,9,-4.12,1,0.221,0.172,1.65e-06,0.327,0.737,120.028,4WqnZokUoswiqEmGadvXlu,4
2877,Duolingo Spanish Podcast,Trailer Season 3,83059,2020-10-10 13:26:00,0.456,0.495,7,-14.431,1,0.0302,6.93e-05,0.772,0.106,0.154,100.052,688QB8UpHeiC8IvsNcHDO9,4
2878,Rak-Su,Wanna Tell You,18910,2020-10-10 13:27:00,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,4
2881,Rak-Su,All Day Long,190182,2020-10-10 13:37:00,0.767,0.884,2,-3.674,1,0.161,0.028,0.0,0.103,0.717,123.01,1g3ErLqysBJ5EIGdYYMWFZ,4
2884,Rak-Su,Deception,252750,2020-10-10 13:48:00,0.465,0.453,2,-11.232,1,0.0531,0.187,2.73e-06,0.114,0.272,101.72,6Y4rDNttdC0T5hDImzjaSJ,4
2885,Rak-Su,Weird Inside,176963,2020-10-10 13:51:00,0.487,0.398,9,-10.503,1,0.0568,0.189,0.211,0.114,0.0456,99.139,6gyeaab6u8qGxz1nbY4Jjh,3
2898,Little Mix,Holiday - Frank Walker Remix,186264,2020-10-11 03:01:00,0.556,0.751,5,-4.611,1,0.0419,0.106,0.0,0.307,0.359,113.922,3tcp3TuUmiVjQznPgrsTN3,4
2901,Famba,Storm (feat. Kyra Mastro),189533,2020-10-11 03:12:00,0.753,0.694,11,-7.212,0,0.107,0.0374,0.0142,0.249,0.324,122.035,24zBAv8qCvjOy4JSh8RYVE,4
2905,Panic! At The Disco,High Hopes - Don Diablo Remix,60002,2020-10-11 03:27:00,0.59,0.888,5,-2.851,1,0.0765,0.0216,0.0,0.487,0.288,126.094,1FlIzyCvRFQUE4pc7PiaIo,4
2916,LAY,Let’s SHUT UP & DANCE,8104,2020-10-11 10:54:00,0.765,0.893,6,-2.891,0,0.209,0.042,0.000271,0.0331,0.715,110.051,05fVrhFBjfElZiDfHDRxhF,4
2936,Mabel,Mad Love,169813,2020-10-12 04:20:00,0.622,0.802,0,-2.992,0,0.15,0.675,0.0,0.124,0.602,197.588,0jJNpY616X5KgEWRLuxLFi,4
2947,Lennon Stella,Summer Feelings (feat. Charlie Puth),160289,2020-10-13 13:07:00,0.696,0.686,5,-6.113,0,0.0309,0.262,0.0,0.174,0.7,115.982,49dFIRQCQxPWgoH0m38XQ5,4
2952,BTS,Dynamite - Bedroom Remix,207926,2020-10-13 13:22:00,0.756,0.745,1,-3.263,0,0.0341,0.0631,0.0,0.221,0.726,109.063,70hNTQkU4hogweDWeMLaWT,4
2954,BTS,Make It Right (feat. Lauv),199903,2020-10-13 13:33:00,0.583,0.68,7,-7.809,1,0.422,0.0304,0.0,0.189,0.343,97.568,2WH4oy1SYppZrcdgKwSA0j,4
2978,Sigma,Here We Go Again,162584,2020-10-14 11:45:00,0.769,0.515,7,-5.981,1,0.287,0.0233,0.0,0.13,0.208,92.143,72QnwdvQfN69gXRaUfJTFL,4
2982,Jonas Blue,I See Love - From Hotel Transylvania 3,173220,2020-10-19 11:14:00,0.736,0.706,2,-3.899,0,0.0438,0.0133,0.0,0.324,0.758,123.047,32UJH1F38AMSjZilQyBzOE,4
2995,Jess Glynne,I'll Be There,193923,2020-10-19 17:02:00,0.627,0.858,7,-3.116,1,0.0395,0.0288,0.0,0.199,0.399,100.077,4r1CoAATVuxag55Ct3Y1aX,4
3000,Valerie Broussard,Don't Let Me Be Misunderstood,182973,2020-10-20 14:51:00,0.513,0.775,11,-5.136,0,0.0284,0.0929,0.0,0.404,0.518,112.202,7vYA9ET5AUqJt5pBbhKmcB,4
3001,Ruelle,Where We Come Alive,212957,2020-10-20 15:00:00,0.198,0.607,0,-5.181,1,0.0388,0.0117,0.0591,0.0899,0.153,142.361,1IBjfOO56IST9SqCdZVVLE,4
3002,Zayde Wølf,You Do You,64515,2020-10-20 15:04:00,0.75,0.794,5,-4.303,1,0.0395,0.0843,0.0,0.235,0.775,120.028,2YuYM68UXaTkoj9u35R4eo,4
3022,R3HAB,Creep (R3HAB Chill Remix),186355,2020-10-21 07:32:00,0.672,0.589,6,-9.416,1,0.0543,0.169,0.119,0.132,0.197,118.006,7DRdeWi12hITQSrDTHHEvp,4
3023,R3HAB,This Is How We Party,147605,2020-10-21 07:34:00,0.649,0.99,11,-1.888,1,0.112,0.000744,0.328,0.0626,0.208,127.964,6Yis2VwVcABCNVEutLgAf7,4
3026,NOTD,Start It Over (feat. CVBZ & Shy Martin),167679,2020-10-21 07:55:00,0.712,0.839,10,-5.136,1,0.26,0.173,0.0,0.0814,0.565,99.909,2i5hQ1RoA0KCzVRXjktJoo,4
3027,Becky Hill,I Could Get Used To This (with WEISS),194760,2020-10-21 07:59:00,0.59,0.646,4,-4.666,0,0.0603,0.0108,0.0,0.473,0.325,117.066,6MSuMFyOdoJMAEgvnhqbRu,4
3028,Daya,Left Me Yet,191340,2020-10-21 08:02:00,0.753,0.806,8,-6.396,0,0.275,0.0552,0.0,0.118,0.424,114.995,6k2t5GhwOIKep31iyJ8S0L,4
3030,Rak-Su,Into It,188040,2020-10-21 13:03:00,0.518,0.572,10,-6.706,0,0.0416,0.0503,2.41e-05,0.129,0.291,130.053,4HwDCXsMBC7SUdp2WT4MZP,4
3031,Ella Henderson,Friends,67950,2020-10-21 13:04:00,0.328,0.608,11,-6.368,0,0.038,0.0117,6.45e-06,0.108,0.0796,107.384,7uDUb37h7Xdhza1eWMkoJv,3
3052,Kygo,Not Ok,210943,2020-10-21 16:42:00,0.723,0.627,6,-5.863,1,0.0292,0.317,0.0,0.188,0.711,87.973,06V8tMMLJS1lNNejvWFzDt,4
3061,Marshmello,Silence,180822,2020-10-22 06:55:00,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,7vGuf3Y35N4wmASOKLUVVU,4
3066,Marshmello,Happier,214289,2020-10-22 07:19:00,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,4
3067,Why Don't We,Big Plans,179929,2020-10-22 07:22:00,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.651,75.014,448hSkxDU1sUQQauBWZVcC,4
3068,Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),170157,2020-10-22 07:24:00,0.73,0.792,6,-5.33,0,0.13,0.0264,0.0,0.101,0.745,99.039,6wXgnhpmOPEJ7cUweSyy2B,4
3071,Marshmello,Light It Up (with Tyga & Chris Brown),137448,2020-10-22 07:34:00,0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,4Q8aDd3H6LF8t4eY7So9O8,4
3072,The Chainsmokers,Who Do You Love,226733,2020-10-22 07:38:00,0.68,0.411,9,-9.761,1,0.434,0.0336,0.0,0.0889,0.161,193.131,7ngdkrVQPgP3AoIxUrTpHT,4
3073,Kygo,I'll Wait,215360,2020-10-22 07:42:00,0.611,0.651,1,-6.973,1,0.0589,0.144,1.7e-05,0.105,0.351,122.983,6Q3K9gVUZRMZqZKrXovbM2,4
3076,Marshmello,Room to Fall,180997,2020-10-22 07:51:00,0.531,0.845,9,-5.362,0,0.164,0.0037,1.58e-05,0.275,0.537,175.898,4pCaBJPDbw1HFzwsQZlIgb,4
3079,Marshmello,Be Kind (with Halsey),7466,2020-10-22 16:35:00,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,3Z8FwOEN59mRMxDCtb8N0A,4
3080,Why Don't We,8 Letters,190026,2020-10-22 16:38:00,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979,4zRZAmBQP8vhNPf9i9opXt,4
3090,Bea Miller,like that,185546,2020-10-22 17:21:00,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,2tudvzsrR56uom6smgOcSf,4
3112,Mike Perry,Hands,167195,2020-10-24 13:04:00,0.516,0.878,7,-3.337,1,0.0678,0.0495,0.0,0.284,0.529,159.941,3J5Y7xgF26vz8Gn4FP8MDV,4
3117,Jonas Blue,Mistakes,186490,2020-10-24 13:22:00,0.89,0.444,7,-5.585,1,0.0549,0.279,0.0,0.0462,0.934,130.013,4NAraLVJxtLPJhmKKVklKa,4
3132,Pia Mia,Bitter Love,216746,2020-10-26 06:14:00,0.365,0.652,7,-2.666,1,0.0356,0.146,0.0,0.114,0.143,101.65,4wOXx92SlZWxNtuBytlMsK,3
3135,Bebe Rexha,I'm a Mess,195519,2020-10-26 06:24:00,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,04ZTP5KsCypmtCmQg5tH9R,4
3146,Falling In Reverse,Popular Monster - NGHTMRE & Galantis Remix,112361,2020-10-26 06:58:00,0.321,0.895,11,-4.172,1,0.267,0.0558,0.00314,0.0863,0.248,159.657,336vTSxoACS82BJzwQ2Gfw,4
3149,Boyce Avenue,Goodbye My Lover,248353,2020-10-26 07:06:00,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,6gxycjJNMgmAyfzUXBN80P,4
3150,Loote,Pushing Daisies,198788,2020-10-26 07:10:00,0.529,0.309,0,-9.364,1,0.0302,0.729,0.0,0.0925,0.196,143.91,0QCYp0iQR5w0beNWnGlc4C,3
3151,Alex Aiono,Good Morning (Fabian Mazur Remix),162875,2020-10-26 07:13:00,0.729,0.663,11,-5.661,0,0.318,0.0845,0.0,0.312,0.73,99.899,5CJr38RUpXugMIUt2LvkbW,4
3152,Guru Randhawa,Naach Meri Rani,120959,2020-10-26 07:15:00,0.676,0.488,1,-5.091,1,0.154,0.0613,0.0,0.0707,0.151,97.036,1orM67pmkNc4alrZkWjYkV,4
3153,Jesper Jenset,Bad Vibrations,43448,2020-10-31 16:51:00,0.549,0.995,4,-4.141,1,0.17,7.69e-05,0.0,0.12,0.0602,128.083,4iUFYqWo9l1BpOZAHsR7zf,4
3172,Zedd,Good Thing (feat. Kehlani) - Grant Remix,218544,2020-11-01 17:25:00,0.778,0.695,1,-5.696,0,0.0377,0.0645,4.03e-05,0.195,0.353,105.026,3d7W9cysz9P6RpmuNkDnnb,3
3176,Loote,85%,174106,2020-11-01 17:48:00,0.574,0.651,7,-7.585,1,0.046,0.346,0.0,0.149,0.368,140.017,5teOR8KU4XNWY2WlVUDiIR,4
3185,Ellie Goulding,Hate Me (with Juice WRLD),186223,2020-11-01 18:26:00,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,6kls8cSlUyHW2BUOkDJIZE,4
3198,Zedd,Good Thing (feat. Kehlani) - Osrin Remix,177267,2020-11-02 09:40:00,0.725,0.689,1,-6.915,0,0.356,0.29,1.69e-05,0.0815,0.567,185.863,4wiCv6q3xqtiaRsQ5sOTSc,3
3207,Alesso,REMEDY,190295,2020-11-03 07:20:00,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,5ynxx6zC4dgzsMHLYQ04Dc,4
3209,Zedd,The Anthem - Radio Mix,161168,2020-11-03 07:31:00,0.74,0.867,0,-3.659,0,0.0591,0.000367,0.23,0.397,0.299,127.998,3JmkG8HYHr279NmuRTDVnU,4
3210,Loote,tomorrow tonight,202600,2020-11-03 07:34:00,0.32,0.5,3,-7.979,1,0.0994,0.134,0.0,0.108,0.142,91.361,4vsAUbPb6q9FpC4AGBFdVh,4
3211,Steve Aoki,Imagine,225000,2020-11-03 07:38:00,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,0pqnGHJpmpxLKifKRmU6WP,4
3212,HRVY,ME BECAUSE OF YOU,215946,2020-11-03 07:42:00,0.605,0.747,10,-6.562,1,0.0807,0.0071,0.0,0.187,0.187,92.855,0PKjvdyNNzkmhtBR4vBsrT,4
3214,Zedd,Find You,204346,2020-11-03 07:49:00,0.576,0.684,8,-5.443,0,0.0416,0.691,0.0,0.182,0.94,115.533,1zfN8zCouutQFIt8856oHV,4
3218,Hailee Steinfeld,I Love You's,216083,2020-11-03 09:18:00,0.681,0.783,8,-4.997,1,0.18,0.0262,0.0,0.206,0.323,106.901,60todhJq1ScRkVxFvXTuZF,4
3220,Ellie Goulding,Slow Grenade,217493,2020-11-03 09:25:00,0.758,0.562,9,-6.302,1,0.0771,0.0996,0.0,0.0996,0.581,142.035,5z8uLrYMcUVvzTV28twt44,4
3223,Patric Scott,Bruised But Not Broken - Live & Unplugged Edit,43970,2020-11-03 11:37:00,0.393,0.544,6,-10.437,1,0.445,0.314,0.0,0.695,0.514,78.216,1LJKXQGyuJ57xyOZAmtDsy,4
3226,Matoma,Bruised Not Broken (feat. MNEK & Kiana Ledé) - Tazer Remix,136516,2020-11-03 11:58:00,0.696,0.815,1,-6.019,1,0.0406,0.00166,0.115,0.352,0.562,123.994,5cFn2UCxem2wOq0ZNgmF8z,4
3233,KREAM,Ain't Thinkin Bout You (feat. Louisa),165616,2020-11-03 12:37:00,0.784,0.761,9,-4.533,1,0.0351,0.00653,0.000463,0.0984,0.525,123.971,1tjxQYoB2OS2fRZS43ODLQ,4
3247,MAX,Love Me Less (feat. Quinn XCII),177669,2020-11-04 08:22:00,0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.323,0.771,145.034,2tOOcDDYkh0PSjr6GwPEAJ,4
3248,Matoma,The Bender (with Brando),184320,2020-11-04 08:25:00,0.707,0.882,6,-7.46,1,0.0384,0.0606,0.0132,0.105,0.208,125.005,3INNLgKkHn8HOodDulCd7x,4
3271,Marshmello,FRIENDS,187664,2020-11-04 12:45:00,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,08bNPGLD8AhKpnnERrAc6G,4
3275,Möwe,Talk To Me (feat. Conor Maynard & RANI) - Sam Feldt Edit,186702,2020-11-04 12:57:00,0.6,0.788,1,-4.482,0,0.111,0.247,0.0,0.105,0.301,94.038,1aCcTh955i82DV6LEe0Igr,4
3284,Loud Luxury,Love No More,168635,2020-11-04 13:44:00,0.766,0.674,0,-6.245,1,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,0E8WJOFs2eWD67USh7C6Qd,4
3285,Lost Kings,Don't Kill My High,180333,2020-11-04 13:47:00,0.674,0.932,8,-4.876,1,0.0718,0.0363,0.0,0.0576,0.826,144.039,09yhMTRqQ1I1dniu3PoIQi,4
3287,Matoma,Embrace Your Life (feat. Alida),190080,2020-11-04 13:58:00,0.765,0.654,6,-7.757,1,0.0461,0.0152,0.0,0.0745,0.595,124.961,3GAw8rIJkfzy9JVlWDhOju,4
3289,Seeb,Grip,41594,2020-11-04 17:28:00,0.767,0.599,0,-7.56,0,0.363,0.053,0.0,0.215,0.513,156.103,2dfnX2aizo1CGP8iHh2U8G,4
3295,Sigala,Somebody,238666,2020-11-05 04:23:00,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4wCmqSrbyCgxEXROQE6vtV,4
3300,NOTD,Cry Dancing,179396,2020-11-05 06:41:00,0.664,0.884,3,-4.433,1,0.0885,0.304,0.0,0.0745,0.483,120.034,7g2uEIBiSXUNkLmEUCv5nq,4
3301,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],186804,2020-11-05 06:44:00,0.547,0.795,8,-3.721,1,0.0489,0.145,0.0,0.11,0.723,118.118,35MKhw2YBKApmD7fAnPERC,4
3302,Sam Feldt,Just To Feel Alive (feat. JRM) - Remix,194838,2020-11-05 06:49:00,0.735,0.623,0,-6.68,1,0.0361,0.422,0.000132,0.122,0.336,122.04,3VgC5iENyVCL72ibr8iJIg,4
3308,Jax Jones,i miss u (with Au/Ra),172143,2020-11-05 07:14:00,0.668,0.726,9,-7.512,1,0.0468,0.0387,0.0,0.134,0.453,124.075,7CH8J4ulT49UfZwSDSkSZA,4
3311,Mike Williams,Make You Mine (feat. Moa Lisa),213333,2020-11-05 07:56:00,0.72,0.781,6,-4.975,0,0.0569,0.0171,1.78e-06,0.215,0.349,126.004,1ICPREUY4yMNeFEgbNh7D5,4
3312,KREAM,Go Somewhere,174480,2020-11-05 07:58:00,0.706,0.78,0,-5.588,1,0.154,0.0105,0.0,0.164,0.677,124.022,71rHHK9L22rVdmofJTjuSd,4
3314,Don Diablo,The Same Way,184838,2020-11-05 08:05:00,0.462,0.934,4,-3.66,0,0.072,0.029,0.0,0.355,0.578,148.041,4HoEU1t49bU5JuqaZXQI8v,4
3315,Sam Feldt,Leave Me Alone (feat. George Shelley),162081,2020-11-05 08:08:00,0.591,0.67,6,-5.105,0,0.0443,0.233,0.0,0.109,0.547,104.81,2J1ZxMyu3cWJxddF8pk7fF,4
3322,Gryffin,OMG (with Carly Rae Jepsen),215737,2020-11-07 03:02:00,0.548,0.587,6,-7.135,1,0.0512,0.0128,0.0104,0.11,0.685,177.925,1a0M7E4aQgkMkuwpjnX9Nr,4
3325,Matoma,Lights Go Down (feat. James Newman),217156,2020-11-07 03:13:00,0.592,0.717,11,-5.801,0,0.0669,0.0161,0.0,0.0845,0.318,130.139,2Yw4G6fqdSUZ6Kd1Y5gIin,4
3327,Seeb,Don't You Wanna Play?,138733,2020-11-07 03:19:00,0.566,0.768,2,-4.458,0,0.0312,0.0127,0.0,0.115,0.638,100.005,2L9OjoIbnI4bDUabsnTGlk,4
3328,Gryffin,Bye Bye (feat. Ivy Adara),210351,2020-11-07 03:22:00,0.612,0.781,4,-3.601,1,0.0931,0.00548,0.0,0.174,0.54,148.017,676eXXtx6I7yxaDfXvMpjK,4
3330,Matoma,Keep It Simple (feat. Wilder Woods),191578,2020-11-07 03:30:00,0.629,0.82,1,-5.651,1,0.0543,0.0142,4.34e-05,0.039,0.329,113.95,58fGC7ZRlPhW1J7kLx1goK,4
3333,Galantis,Satisfied (feat. MAX),155939,2020-11-07 03:44:00,0.75,0.651,1,-4.655,1,0.121,0.00759,0.0,0.521,0.928,120.055,57QXXEBy5apjgxsyXSb8YE,4
3336,Cash Cash,I Found You,167307,2020-11-07 03:53:00,0.728,0.701,1,-6.58,1,0.0407,0.0945,2.08e-05,0.181,0.414,137.97,6PaTvPrElWv0IitxISG5Wj,4
3337,Gryffin,Hold You Tonight (with Chris Lane),120002,2020-11-07 03:55:00,0.467,0.795,11,-3.6,1,0.0687,0.102,0.0,0.264,0.472,163.837,58jecLK0epwMLr9cy5vFUy,4
