,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Antidote - Radio Edit,0.648,0.859,7,-4.974,1,0.111,0.00645,0.0282,0.135,0.633,128.03,audio_features,38G32c3uJeFucSYweZv4pI,spotify:track:38G32c3uJeFucSYweZv4pI,https://api.spotify.com/v1/tracks/38G32c3uJeFucSYweZv4pI,https://api.spotify.com/v1/audio-analysis/38G32c3uJeFucSYweZv4pI,177250,4
Outta My Head,0.544,0.872,2,-4.193,0,0.0526,0.00321,0,0.267,0.597,78.071,audio_features,3NcheXileql4RI8n6sLumL,spotify:track:3NcheXileql4RI8n6sLumL,https://api.spotify.com/v1/tracks/3NcheXileql4RI8n6sLumL,https://api.spotify.com/v1/audio-analysis/3NcheXileql4RI8n6sLumL,172500,4
Crush Culture,0.522,0.765,0,-5.395,1,0.193,0.146,0,0.0866,0.455,180.065,audio_features,2sHwSBNDZN2yjCtgwStYt1,spotify:track:2sHwSBNDZN2yjCtgwStYt1,https://api.spotify.com/v1/tracks/2sHwSBNDZN2yjCtgwStYt1,https://api.spotify.com/v1/audio-analysis/2sHwSBNDZN2yjCtgwStYt1,204120,4
Vacation,0.739,0.749,8,-5.586,1,0.0337,0.0391,0,0.107,0.831,150.052,audio_features,66c255mTfkj0YpWf8HWE25,spotify:track:66c255mTfkj0YpWf8HWE25,https://api.spotify.com/v1/tracks/66c255mTfkj0YpWf8HWE25,https://api.spotify.com/v1/audio-analysis/66c255mTfkj0YpWf8HWE25,209722,4
Unconditionally,0.432,0.725,7,-4.862,1,0.0431,0.00273,0,0.208,0.353,128.902,audio_features,009ImBOrIUlWgla8U05RAC,spotify:track:009ImBOrIUlWgla8U05RAC,https://api.spotify.com/v1/tracks/009ImBOrIUlWgla8U05RAC,https://api.spotify.com/v1/audio-analysis/009ImBOrIUlWgla8U05RAC,228879,4
The Whistle Song - Re-Directed,0.707,0.86,0,-6.188,1,0.033,0.00324,0.901,0.105,0.387,126.013,audio_features,6wD0LWjn3WZMdLqatEc5vM,spotify:track:6wD0LWjn3WZMdLqatEc5vM,https://api.spotify.com/v1/tracks/6wD0LWjn3WZMdLqatEc5vM,https://api.spotify.com/v1/audio-analysis/6wD0LWjn3WZMdLqatEc5vM,477845,4
My Head & My Heart,0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001,audio_features,1KixkQVDUHggZMU9dUobgm,spotify:track:1KixkQVDUHggZMU9dUobgm,https://api.spotify.com/v1/tracks/1KixkQVDUHggZMU9dUobgm,https://api.spotify.com/v1/audio-analysis/1KixkQVDUHggZMU9dUobgm,174760,4
I Wanna Know (feat. Bea Miller),0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,audio_features,18W92Zm1KjLCbUIszOhpkD,spotify:track:18W92Zm1KjLCbUIszOhpkD,https://api.spotify.com/v1/tracks/18W92Zm1KjLCbUIszOhpkD,https://api.spotify.com/v1/audio-analysis/18W92Zm1KjLCbUIszOhpkD,197939,4
Maria,0.825,0.687,6,-6.794,0,0.0414,0.00997,1.32e-05,0.19,0.294,111.002,audio_features,7E1dQbOk1qcx9gEPUMBKsk,spotify:track:7E1dQbOk1qcx9gEPUMBKsk,https://api.spotify.com/v1/tracks/7E1dQbOk1qcx9gEPUMBKsk,https://api.spotify.com/v1/audio-analysis/7E1dQbOk1qcx9gEPUMBKsk,248293,4
Lego House,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,audio_features,5ubHAQtKuFfiG4FXfLP804,spotify:track:5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/tracks/5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/audio-analysis/5ubHAQtKuFfiG4FXfLP804,185093,4
Ocean Drive,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,audio_features,0b6wdul3A5sQNpIOv03OxP,spotify:track:0b6wdul3A5sQNpIOv03OxP,https://api.spotify.com/v1/tracks/0b6wdul3A5sQNpIOv03OxP,https://api.spotify.com/v1/audio-analysis/0b6wdul3A5sQNpIOv03OxP,206320,4
Frozen,0.397,0.942,8,-2.5,0,0.153,0.00113,0,0.322,0.464,156.074,audio_features,60No1rVevpihXdUMgUoIf4,spotify:track:60No1rVevpihXdUMgUoIf4,https://api.spotify.com/v1/tracks/60No1rVevpihXdUMgUoIf4,https://api.spotify.com/v1/audio-analysis/60No1rVevpihXdUMgUoIf4,213504,4
All Day And Night,0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,audio_features,33CfD8UkDEcSdAP9j4QpUY,spotify:track:33CfD8UkDEcSdAP9j4QpUY,https://api.spotify.com/v1/tracks/33CfD8UkDEcSdAP9j4QpUY,https://api.spotify.com/v1/audio-analysis/33CfD8UkDEcSdAP9j4QpUY,169303,4
Body Back (feat. Maia Wright),0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,audio_features,1z1XegUChLLQfcbtIK8ABn,spotify:track:1z1XegUChLLQfcbtIK8ABn,https://api.spotify.com/v1/tracks/1z1XegUChLLQfcbtIK8ABn,https://api.spotify.com/v1/audio-analysis/1z1XegUChLLQfcbtIK8ABn,214634,4
Whatever It Takes,0.672,0.655,10,-5.021,0,0.031,0.0362,0,0.117,0.555,134.948,audio_features,6Qn5zhYkTa37e91HC1D7lb,spotify:track:6Qn5zhYkTa37e91HC1D7lb,https://api.spotify.com/v1/tracks/6Qn5zhYkTa37e91HC1D7lb,https://api.spotify.com/v1/audio-analysis/6Qn5zhYkTa37e91HC1D7lb,201240,4
All For Love,0.653,0.76,1,-4.892,0,0.0556,0.00514,3.79e-05,0.0658,0.133,119.905,audio_features,7lqsmY0ifoZsqBU6DpbCIq,spotify:track:7lqsmY0ifoZsqBU6DpbCIq,https://api.spotify.com/v1/tracks/7lqsmY0ifoZsqBU6DpbCIq,https://api.spotify.com/v1/audio-analysis/7lqsmY0ifoZsqBU6DpbCIq,203680,4
Distance,0.541,0.784,5,-5.69,1,0.0362,0.045,0,0.103,0.355,138.0,audio_features,2apZN1t4kvDrpSclDqOMce,spotify:track:2apZN1t4kvDrpSclDqOMce,https://api.spotify.com/v1/tracks/2apZN1t4kvDrpSclDqOMce,https://api.spotify.com/v1/audio-analysis/2apZN1t4kvDrpSclDqOMce,187690,4
she's all yours,0.573,0.662,6,-5.657,1,0.0461,0.0561,0,0.148,0.361,157.791,audio_features,50p8v7PAXUBoD5MzoZdr9s,spotify:track:50p8v7PAXUBoD5MzoZdr9s,https://api.spotify.com/v1/tracks/50p8v7PAXUBoD5MzoZdr9s,https://api.spotify.com/v1/audio-analysis/50p8v7PAXUBoD5MzoZdr9s,161947,4
Girl,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,audio_features,4esOae7i4rqTbAu9o5Pxco,spotify:track:4esOae7i4rqTbAu9o5Pxco,https://api.spotify.com/v1/tracks/4esOae7i4rqTbAu9o5Pxco,https://api.spotify.com/v1/audio-analysis/4esOae7i4rqTbAu9o5Pxco,224920,4
I Love You's,0.681,0.783,8,-4.997,1,0.18,0.0262,0,0.206,0.323,106.901,audio_features,60todhJq1ScRkVxFvXTuZF,spotify:track:60todhJq1ScRkVxFvXTuZF,https://api.spotify.com/v1/tracks/60todhJq1ScRkVxFvXTuZF,https://api.spotify.com/v1/audio-analysis/60todhJq1ScRkVxFvXTuZF,216084,4
Face Up To The Sun - Acoustic Version,0.664,0.167,5,-17.228,1,0.0356,0.957,5.88e-05,0.0858,0.488,110.071,audio_features,2NbuvMe9jqYFWZbXsKqwnu,spotify:track:2NbuvMe9jqYFWZbXsKqwnu,https://api.spotify.com/v1/tracks/2NbuvMe9jqYFWZbXsKqwnu,https://api.spotify.com/v1/audio-analysis/2NbuvMe9jqYFWZbXsKqwnu,139636,4
Now and Forever,0.441,0.258,7,-11.227,1,0.0276,0.661,0,0.106,0.172,77.988,audio_features,2V2pxcEfn5zs79sE7qcewA,spotify:track:2V2pxcEfn5zs79sE7qcewA,https://api.spotify.com/v1/tracks/2V2pxcEfn5zs79sE7qcewA,https://api.spotify.com/v1/audio-analysis/2V2pxcEfn5zs79sE7qcewA,214827,1
Lose Control - ChildsPlay & Badd Dimes Remix,0.627,0.768,5,-6.185,0,0.042,0.0269,0.00124,0.116,0.168,127.903,audio_features,44Fy9nmj1bBh42WviVea0m,spotify:track:44Fy9nmj1bBh42WviVea0m,https://api.spotify.com/v1/tracks/44Fy9nmj1bBh42WviVea0m,https://api.spotify.com/v1/audio-analysis/44Fy9nmj1bBh42WviVea0m,207021,4
One Whole Day (feat. Wiz Khalifa),0.64,0.863,5,-4.002,1,0.0321,0.0386,0,0.293,0.726,81.004,audio_features,6zziOt8Uuv4FLjl8GaqlEM,spotify:track:6zziOt8Uuv4FLjl8GaqlEM,https://api.spotify.com/v1/tracks/6zziOt8Uuv4FLjl8GaqlEM,https://api.spotify.com/v1/audio-analysis/6zziOt8Uuv4FLjl8GaqlEM,176854,4
One Night (feat. Raphaella),0.486,0.896,11,-6.189,0,0.0346,0.0015,0.0443,0.217,0.195,123.967,audio_features,4QUA94c3ycZm8dnpPih4sf,spotify:track:4QUA94c3ycZm8dnpPih4sf,https://api.spotify.com/v1/tracks/4QUA94c3ycZm8dnpPih4sf,https://api.spotify.com/v1/audio-analysis/4QUA94c3ycZm8dnpPih4sf,161883,4
Starving,0.728,0.616,4,-4.238,1,0.0645,0.378,0,0.105,0.508,99.962,audio_features,4Ce37cRWvM1vIGGynKcs22,spotify:track:4Ce37cRWvM1vIGGynKcs22,https://api.spotify.com/v1/tracks/4Ce37cRWvM1vIGGynKcs22,https://api.spotify.com/v1/audio-analysis/4Ce37cRWvM1vIGGynKcs22,181880,4
Wish I Never Met You,0.515,0.581,7,-8.741,0,0.129,0.0284,0,0.109,0.0361,122.108,audio_features,7MOjhqpSpGkeRyT4agpg12,spotify:track:7MOjhqpSpGkeRyT4agpg12,https://api.spotify.com/v1/tracks/7MOjhqpSpGkeRyT4agpg12,https://api.spotify.com/v1/audio-analysis/7MOjhqpSpGkeRyT4agpg12,224262,4
Cannibal,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,audio_features,3JTMWdhcJPiegDSe7SvZS3,spotify:track:3JTMWdhcJPiegDSe7SvZS3,https://api.spotify.com/v1/tracks/3JTMWdhcJPiegDSe7SvZS3,https://api.spotify.com/v1/audio-analysis/3JTMWdhcJPiegDSe7SvZS3,194253,4
When In Rome - Mark Sixma Remix,0.61,0.854,11,-5.118,1,0.0928,0.00524,1.25e-06,0.127,0.576,127.953,audio_features,76kkAnqj73aaP5xkrfpWb4,spotify:track:76kkAnqj73aaP5xkrfpWb4,https://api.spotify.com/v1/tracks/76kkAnqj73aaP5xkrfpWb4,https://api.spotify.com/v1/audio-analysis/76kkAnqj73aaP5xkrfpWb4,189844,4
Underwater Love - LA Vision Remix,0.689,0.756,2,-5.574,0,0.0483,0.00589,6.11e-06,0.144,0.35,119.984,audio_features,7L2lhosR2K7iBRb2yiTVRV,spotify:track:7L2lhosR2K7iBRb2yiTVRV,https://api.spotify.com/v1/tracks/7L2lhosR2K7iBRb2yiTVRV,https://api.spotify.com/v1/audio-analysis/7L2lhosR2K7iBRb2yiTVRV,148000,4
Just For A Moment (feat. Iselin),0.536,0.776,1,-6.343,0,0.0485,0.0137,1.83e-05,0.269,0.414,144.037,audio_features,24FFOpCA6bc5YoU2F3TKqS,spotify:track:24FFOpCA6bc5YoU2F3TKqS,https://api.spotify.com/v1/tracks/24FFOpCA6bc5YoU2F3TKqS,https://api.spotify.com/v1/audio-analysis/24FFOpCA6bc5YoU2F3TKqS,253251,4
Golden (feat. RIELL),0.576,0.799,8,-4.924,1,0.101,0.0268,0,0.148,0.31,124.948,audio_features,6FE9Cfmoq6j5fAp8WsXgxS,spotify:track:6FE9Cfmoq6j5fAp8WsXgxS,https://api.spotify.com/v1/tracks/6FE9Cfmoq6j5fAp8WsXgxS,https://api.spotify.com/v1/audio-analysis/6FE9Cfmoq6j5fAp8WsXgxS,168240,4
The Harold Song - Deconstructed Mix,0.541,0.555,7,-8.039,1,0.0488,0.441,0,0.176,0.251,114.0,audio_features,028OAO2DrIrxjZDDQpfCQt,spotify:track:028OAO2DrIrxjZDDQpfCQt,https://api.spotify.com/v1/tracks/028OAO2DrIrxjZDDQpfCQt,https://api.spotify.com/v1/audio-analysis/028OAO2DrIrxjZDDQpfCQt,293747,4
Started,0.793,0.524,8,-7.827,1,0.156,0.0319,0,0.156,0.579,86.325,audio_features,5DI9jxTHrEiFAhStG7VA8E,spotify:track:5DI9jxTHrEiFAhStG7VA8E,https://api.spotify.com/v1/tracks/5DI9jxTHrEiFAhStG7VA8E,https://api.spotify.com/v1/audio-analysis/5DI9jxTHrEiFAhStG7VA8E,174133,4
Night After Night - Radio Edit,0.664,0.972,4,-5.273,0,0.0719,0.000497,0.694,0.319,0.402,128.019,audio_features,6L5oimyAoXuIb1GL10Oloh,spotify:track:6L5oimyAoXuIb1GL10Oloh,https://api.spotify.com/v1/tracks/6L5oimyAoXuIb1GL10Oloh,https://api.spotify.com/v1/audio-analysis/6L5oimyAoXuIb1GL10Oloh,158040,4
Outside (feat. Ellie Goulding),0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
Love You Now (feat. Georgia Ku),0.433,0.808,6,-1.825,1,0.0616,0.0917,0,0.0599,0.279,160.214,audio_features,5iXiXXgQU9SkVwdCO0hdZE,spotify:track:5iXiXXgQU9SkVwdCO0hdZE,https://api.spotify.com/v1/tracks/5iXiXXgQU9SkVwdCO0hdZE,https://api.spotify.com/v1/audio-analysis/5iXiXXgQU9SkVwdCO0hdZE,175875,3
Ep. 5: The Lady of the House,0.273,0.38,2,-8.616,1,0.0301,0.0441,0.0102,0.136,0.0922,79.867,audio_features,4YQd7F0cSF4rFt8QYKK76Q,spotify:track:4YQd7F0cSF4rFt8QYKK76Q,https://api.spotify.com/v1/tracks/4YQd7F0cSF4rFt8QYKK76Q,https://api.spotify.com/v1/audio-analysis/4YQd7F0cSF4rFt8QYKK76Q,207987,4
Never Forget You,0.583,0.732,11,-5.729,0,0.0459,0.00315,9.57e-06,0.269,0.277,146.005,audio_features,6hmhG1b4LEyNuashVvuIAo,spotify:track:6hmhG1b4LEyNuashVvuIAo,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,https://api.spotify.com/v1/audio-analysis/6hmhG1b4LEyNuashVvuIAo,213428,4
The Best Days (feat. Tabitha),0.667,0.827,11,-5.631,1,0.0368,0.0863,0,0.0565,0.573,107.95,audio_features,140XpWSdJ0jZEbLj9iVnPA,spotify:track:140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/tracks/140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/audio-analysis/140XpWSdJ0jZEbLj9iVnPA,161944,4
Hoemita (feat. Lil Yachty),0.928,0.369,1,-12.654,1,0.297,0.00779,0,0.0329,0.571,126.005,audio_features,22J38a2qjT3szXDrPCbe0a,spotify:track:22J38a2qjT3szXDrPCbe0a,https://api.spotify.com/v1/tracks/22J38a2qjT3szXDrPCbe0a,https://api.spotify.com/v1/audio-analysis/22J38a2qjT3szXDrPCbe0a,183202,4
One Call Away,0.667,0.613,1,-5.353,1,0.0344,0.403,0,0.115,0.47,91.024,audio_features,7soJgKhQTO8hLP2JPRkL5O,spotify:track:7soJgKhQTO8hLP2JPRkL5O,https://api.spotify.com/v1/tracks/7soJgKhQTO8hLP2JPRkL5O,https://api.spotify.com/v1/audio-analysis/7soJgKhQTO8hLP2JPRkL5O,194453,4
On My Way,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,audio_features,4n7jnSxVLd8QioibtTDBDq,spotify:track:4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,193798,4
The Harold Song,0.616,0.59,7,-5.548,1,0.0294,0.0893,0,0.0883,0.198,110.022,audio_features,7ySQMmekH58Y7Vn4InRG7r,spotify:track:7ySQMmekH58Y7Vn4InRG7r,https://api.spotify.com/v1/tracks/7ySQMmekH58Y7Vn4InRG7r,https://api.spotify.com/v1/audio-analysis/7ySQMmekH58Y7Vn4InRG7r,238693,4
Boy With Luv (feat. Halsey),0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,audio_features,4a9tbd947vo9K8Vti9JwcI,spotify:track:4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/tracks/4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/audio-analysis/4a9tbd947vo9K8Vti9JwcI,229773,4
As You Are (feat. Shy Carter),0.819,0.523,2,-6.202,1,0.0449,0.361,0,0.0716,0.699,113.952,audio_features,5T5X1awq0Tzg0NgQ4bSVAE,spotify:track:5T5X1awq0Tzg0NgQ4bSVAE,https://api.spotify.com/v1/tracks/5T5X1awq0Tzg0NgQ4bSVAE,https://api.spotify.com/v1/audio-analysis/5T5X1awq0Tzg0NgQ4bSVAE,235920,4
SICKO MODE,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4
"Me, Myself & I",0.756,0.674,0,-6.518,0,0.0959,0.0184,0,0.158,0.389,111.995,audio_features,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,251467,4
I Won't Let You Walk Away - Lost Kings Remix,0.601,0.819,3,-6.13,1,0.0314,0.0997,0.00146,0.115,0.297,127.998,audio_features,05KeRMxuutPAe5JOVlzZi3,spotify:track:05KeRMxuutPAe5JOVlzZi3,https://api.spotify.com/v1/tracks/05KeRMxuutPAe5JOVlzZi3,https://api.spotify.com/v1/audio-analysis/05KeRMxuutPAe5JOVlzZi3,246594,4
Natural Born Lovers,0.398,0.595,8,-4.233,1,0.152,0.0243,0,0.135,0.445,154.305,audio_features,5vfJeS5sIkvmsrhOXnC9Pk,spotify:track:5vfJeS5sIkvmsrhOXnC9Pk,https://api.spotify.com/v1/tracks/5vfJeS5sIkvmsrhOXnC9Pk,https://api.spotify.com/v1/audio-analysis/5vfJeS5sIkvmsrhOXnC9Pk,229059,3
Skinny Dip (Komodo) [feat. Philip Strand],0.71,0.793,9,-3.723,0,0.0694,0.0419,0,0.338,0.604,121.065,audio_features,79m1I109FyZMx3VwQZAEQM,spotify:track:79m1I109FyZMx3VwQZAEQM,https://api.spotify.com/v1/tracks/79m1I109FyZMx3VwQZAEQM,https://api.spotify.com/v1/audio-analysis/79m1I109FyZMx3VwQZAEQM,171944,4
Happy Where We Are - Axis Remix,0.588,0.838,2,-4.227,0,0.0913,0.0152,2.01e-06,0.335,0.176,128.019,audio_features,6xgfvpsaa4uIy0LzDpzXK6,spotify:track:6xgfvpsaa4uIy0LzDpzXK6,https://api.spotify.com/v1/tracks/6xgfvpsaa4uIy0LzDpzXK6,https://api.spotify.com/v1/audio-analysis/6xgfvpsaa4uIy0LzDpzXK6,249375,4
I Don't Care (with Justin Bieber) - Jonas Blue Remix,0.708,0.872,6,-5.775,1,0.0502,0.0736,0,0.337,0.25,124.026,audio_features,1VYj8u5I4L5Xl21zQiQMx7,spotify:track:1VYj8u5I4L5Xl21zQiQMx7,https://api.spotify.com/v1/tracks/1VYj8u5I4L5Xl21zQiQMx7,https://api.spotify.com/v1/audio-analysis/1VYj8u5I4L5Xl21zQiQMx7,192681,4
drivers license,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4
Better With You,0.623,0.572,2,-9.257,1,0.0606,0.525,0,0.185,0.461,78.02,audio_features,0OPIBKjAYBFzNpo1HzjqzQ,spotify:track:0OPIBKjAYBFzNpo1HzjqzQ,https://api.spotify.com/v1/tracks/0OPIBKjAYBFzNpo1HzjqzQ,https://api.spotify.com/v1/audio-analysis/0OPIBKjAYBFzNpo1HzjqzQ,191827,4
I'm not Pretty,0.573,0.795,10,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,audio_features,2ePiBvKtQOCBHq9uOlwiiU,spotify:track:2ePiBvKtQOCBHq9uOlwiiU,https://api.spotify.com/v1/tracks/2ePiBvKtQOCBHq9uOlwiiU,https://api.spotify.com/v1/audio-analysis/2ePiBvKtQOCBHq9uOlwiiU,181067,4
Feelin' Myself,0.831,0.573,0,-6.515,0,0.0593,0.0435,5.22e-05,0.26,0.674,99.979,audio_features,4pOwXHMGYZbsXQMhYnetHG,spotify:track:4pOwXHMGYZbsXQMhYnetHG,https://api.spotify.com/v1/tracks/4pOwXHMGYZbsXQMhYnetHG,https://api.spotify.com/v1/audio-analysis/4pOwXHMGYZbsXQMhYnetHG,224813,4
Cheerleader (feat. Kid Ink) - Felix Jaehn vs Salaam Remi Remix,0.794,0.741,4,-4.472,1,0.0456,0.0649,0,0.171,0.661,117.944,audio_features,1GjEZraby4E4hevkpItlok,spotify:track:1GjEZraby4E4hevkpItlok,https://api.spotify.com/v1/tracks/1GjEZraby4E4hevkpItlok,https://api.spotify.com/v1/audio-analysis/1GjEZraby4E4hevkpItlok,182333,4
Messin' Around (with Enrique Iglesias),0.576,0.807,2,-4.602,1,0.0454,0.0157,0,0.0338,0.765,158.002,audio_features,2moTY9zKAZkRsODU4TUXY6,spotify:track:2moTY9zKAZkRsODU4TUXY6,https://api.spotify.com/v1/tracks/2moTY9zKAZkRsODU4TUXY6,https://api.spotify.com/v1/audio-analysis/2moTY9zKAZkRsODU4TUXY6,223265,4
(Not) The One,0.525,0.52,2,-8.602,1,0.0323,0.00603,1.4e-05,0.583,0.0719,124.839,audio_features,0pCfUWRYAjj2WoaRlr3wuE,spotify:track:0pCfUWRYAjj2WoaRlr3wuE,https://api.spotify.com/v1/tracks/0pCfUWRYAjj2WoaRlr3wuE,https://api.spotify.com/v1/audio-analysis/0pCfUWRYAjj2WoaRlr3wuE,172080,4
Dance Forever,0.702,0.689,2,-3.44,1,0.0368,0.00197,0,0.361,0.583,125.025,audio_features,3dryLzQenLC9rTDpdsq7j0,spotify:track:3dryLzQenLC9rTDpdsq7j0,https://api.spotify.com/v1/tracks/3dryLzQenLC9rTDpdsq7j0,https://api.spotify.com/v1/audio-analysis/3dryLzQenLC9rTDpdsq7j0,222507,4
Diamonds - Acoustic,0.489,0.284,10,-8.699,0,0.0508,0.841,0,0.137,0.335,186.337,audio_features,4y8OZW2dyWRobsi2w0C64W,spotify:track:4y8OZW2dyWRobsi2w0C64W,https://api.spotify.com/v1/tracks/4y8OZW2dyWRobsi2w0C64W,https://api.spotify.com/v1/audio-analysis/4y8OZW2dyWRobsi2w0C64W,194542,4
Que Bailes Conmigo Hoy - Don't Wanna Dance Alone,0.777,0.791,1,-3.536,0,0.0534,0.0573,2.04e-05,0.0233,0.837,119.034,audio_features,3CzMSti7D2H1kyg4SzJHLD,spotify:track:3CzMSti7D2H1kyg4SzJHLD,https://api.spotify.com/v1/tracks/3CzMSti7D2H1kyg4SzJHLD,https://api.spotify.com/v1/audio-analysis/3CzMSti7D2H1kyg4SzJHLD,217120,4
Cheerleader (feat. Nicky Jam) - Felix Jaehn Remix,0.731,0.681,4,-5.866,1,0.0405,0.0958,0,0.0682,0.688,118.028,audio_features,2Pc6PwPhcIThcK34ElYJri,spotify:track:2Pc6PwPhcIThcK34ElYJri,https://api.spotify.com/v1/tracks/2Pc6PwPhcIThcK34ElYJri,https://api.spotify.com/v1/audio-analysis/2Pc6PwPhcIThcK34ElYJri,180968,4
Carry Me (feat. Julia Michaels),0.621,0.551,7,-7.89,1,0.0474,0.486,0,0.115,0.222,105.052,audio_features,3FZEv9JddkjHNFiMVxJYpS,spotify:track:3FZEv9JddkjHNFiMVxJYpS,https://api.spotify.com/v1/tracks/3FZEv9JddkjHNFiMVxJYpS,https://api.spotify.com/v1/audio-analysis/3FZEv9JddkjHNFiMVxJYpS,233133,4
Love Not War (The Tampa Beat),0.738,0.85,8,-3.049,1,0.0642,0.105,0,0.23,0.865,98.013,audio_features,4Lt6GXGzYsa1tgkv3nGSTm,spotify:track:4Lt6GXGzYsa1tgkv3nGSTm,https://api.spotify.com/v1/tracks/4Lt6GXGzYsa1tgkv3nGSTm,https://api.spotify.com/v1/audio-analysis/4Lt6GXGzYsa1tgkv3nGSTm,192921,4
Only Wanna Dance With You,0.51,0.915,9,-4.948,1,0.0891,0.000355,0.00701,0.231,0.941,168.965,audio_features,5unvfecPlWyn1NkFpf5YvA,spotify:track:5unvfecPlWyn1NkFpf5YvA,https://api.spotify.com/v1/tracks/5unvfecPlWyn1NkFpf5YvA,https://api.spotify.com/v1/audio-analysis/5unvfecPlWyn1NkFpf5YvA,144391,4
Rave in the Grave,0.734,0.878,1,-2.172,1,0.0396,0.000266,0,0.0973,0.297,86.03,audio_features,3R1bUwe5mTclpush3T5P0a,spotify:track:3R1bUwe5mTclpush3T5P0a,https://api.spotify.com/v1/tracks/3R1bUwe5mTclpush3T5P0a,https://api.spotify.com/v1/audio-analysis/3R1bUwe5mTclpush3T5P0a,145137,4
shut up,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,audio_features,4kbj5MwxO1bq9wjT5g9HaA,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080,4
I'm In Love With a Monster,0.666,0.812,6,-4.07,0,0.0647,0.0597,0,0.0603,0.868,145.059,audio_features,0hO71r8vbnrXSaXVrR9ptF,spotify:track:0hO71r8vbnrXSaXVrR9ptF,https://api.spotify.com/v1/tracks/0hO71r8vbnrXSaXVrR9ptF,https://api.spotify.com/v1/audio-analysis/0hO71r8vbnrXSaXVrR9ptF,211932,4
Fast Car,0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
Let's Get Down,0.907,0.645,7,-4.38,1,0.0976,0.043,0,0.18,0.562,103.312,audio_features,7qdo6JOOaaY9LadOAhfXq7,spotify:track:7qdo6JOOaaY9LadOAhfXq7,https://api.spotify.com/v1/tracks/7qdo6JOOaaY9LadOAhfXq7,https://api.spotify.com/v1/audio-analysis/7qdo6JOOaaY9LadOAhfXq7,299507,4
