,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Keep You Mine,0.81,0.788,10,-3.663,1,0.0447,0.267,0.000172,0.196,0.845,135.991,audio_features,0OJN2A3Qyvd7pwSF0AIteC,spotify:track:0OJN2A3Qyvd7pwSF0AIteC,https://api.spotify.com/v1/tracks/0OJN2A3Qyvd7pwSF0AIteC,https://api.spotify.com/v1/audio-analysis/0OJN2A3Qyvd7pwSF0AIteC,174761,4
Riot Maker,0.698,0.663,2,-3.444,1,0.335,0.0695,0,0.566,0.628,162.12,audio_features,6nU5YHmm88HuVfpegW74p7,spotify:track:6nU5YHmm88HuVfpegW74p7,https://api.spotify.com/v1/tracks/6nU5YHmm88HuVfpegW74p7,https://api.spotify.com/v1/audio-analysis/6nU5YHmm88HuVfpegW74p7,331480,4
On My Way - Da Tweekaz Remix,0.478,0.848,1,-3.85,0,0.0431,0.0934,0,0.0925,0.48,149.936,audio_features,4Sp0jLZN8MgPnoGDufJS7N,spotify:track:4Sp0jLZN8MgPnoGDufJS7N,https://api.spotify.com/v1/tracks/4Sp0jLZN8MgPnoGDufJS7N,https://api.spotify.com/v1/audio-analysis/4Sp0jLZN8MgPnoGDufJS7N,204199,4
Can't Stop Dancing,0.645,0.669,0,-7.946,0,0.0638,0.00545,0.00138,0.0997,0.568,100.052,audio_features,5NetSTs4dgiR6GLrZOQcwJ,spotify:track:5NetSTs4dgiR6GLrZOQcwJ,https://api.spotify.com/v1/tracks/5NetSTs4dgiR6GLrZOQcwJ,https://api.spotify.com/v1/audio-analysis/5NetSTs4dgiR6GLrZOQcwJ,198853,4
Chop - Oomloud Refix,0.775,0.961,11,-4.703,0,0.0625,0.00121,0.765,0.0699,0.336,126.044,audio_features,1i5DCyqyCB0IAPKtzq1iK5,spotify:track:1i5DCyqyCB0IAPKtzq1iK5,https://api.spotify.com/v1/tracks/1i5DCyqyCB0IAPKtzq1iK5,https://api.spotify.com/v1/audio-analysis/1i5DCyqyCB0IAPKtzq1iK5,162455,4
Ooh Girl (feat. A Boogie Wit da Hoodie),0.726,0.781,0,-4.276,1,0.0525,0.139,0,0.274,0.579,104.976,audio_features,1mKNyZCNDueEASgBgZuLdA,spotify:track:1mKNyZCNDueEASgBgZuLdA,https://api.spotify.com/v1/tracks/1mKNyZCNDueEASgBgZuLdA,https://api.spotify.com/v1/audio-analysis/1mKNyZCNDueEASgBgZuLdA,168201,4
Rose Coloured Glasses,0.514,0.729,8,-7.338,1,0.058,0.332,0,0.212,0.618,152.071,audio_features,4MvWxdqzKegz0jr8DhzJNd,spotify:track:4MvWxdqzKegz0jr8DhzJNd,https://api.spotify.com/v1/tracks/4MvWxdqzKegz0jr8DhzJNd,https://api.spotify.com/v1/audio-analysis/4MvWxdqzKegz0jr8DhzJNd,205775,4
Underwater,0.703,0.692,1,-5.748,0,0.0412,0.00469,1.64e-06,0.12,0.491,124.077,audio_features,3c9IKwzgIPcCweCl9so748,spotify:track:3c9IKwzgIPcCweCl9so748,https://api.spotify.com/v1/tracks/3c9IKwzgIPcCweCl9so748,https://api.spotify.com/v1/audio-analysis/3c9IKwzgIPcCweCl9so748,141895,4
Come Back To Me,0.476,0.895,4,-4.857,1,0.0299,0.0101,1.02e-06,0.127,0.632,108.087,audio_features,55r33uTqnLglVMHb1qeWOd,spotify:track:55r33uTqnLglVMHb1qeWOd,https://api.spotify.com/v1/tracks/55r33uTqnLglVMHb1qeWOd,https://api.spotify.com/v1/audio-analysis/55r33uTqnLglVMHb1qeWOd,248000,4
Skin,0.396,0.759,7,-5.122,1,0.0412,2.24e-05,5.51e-05,0.518,0.27,153.904,audio_features,299GkePhIW0lHWwcdyCsT9,spotify:track:299GkePhIW0lHWwcdyCsT9,https://api.spotify.com/v1/tracks/299GkePhIW0lHWwcdyCsT9,https://api.spotify.com/v1/audio-analysis/299GkePhIW0lHWwcdyCsT9,162038,4
Booyah 2018 Remixes (feat. We Are Loud & Sonny Wilson) - Breathe Carolina Remix,0.565,0.963,3,-1.5,0,0.0551,0.0092,0.00261,0.351,0.583,128.009,audio_features,55Yq2zMgu5UkVslZFgygWS,spotify:track:55Yq2zMgu5UkVslZFgygWS,https://api.spotify.com/v1/tracks/55Yq2zMgu5UkVslZFgygWS,https://api.spotify.com/v1/audio-analysis/55Yq2zMgu5UkVslZFgygWS,229219,4
Here With Me,0.575,0.45,4,-9.306,1,0.0259,0.531,6.59e-05,0.124,0.263,132.039,audio_features,5LrN7yUQAzvthd4QujgPFr,spotify:track:5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,242485,4
Alone,0.866,0.358,9,-13.65,1,0.469,0.504,0.00211,0.337,0.425,119.041,audio_features,1Uss8Mkb9ce4oMtI68JYna,spotify:track:1Uss8Mkb9ce4oMtI68JYna,https://api.spotify.com/v1/tracks/1Uss8Mkb9ce4oMtI68JYna,https://api.spotify.com/v1/audio-analysis/1Uss8Mkb9ce4oMtI68JYna,160061,4
