,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
848,Closer,2020-06-30 02:22,The Chainsmokers,Closer,244960,2020-06-30 02:22:00,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
849,All Around The World (La La La),2020-06-30 02:24,R3HAB,All Around The World (La La La),147840,2020-06-30 02:24:00,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,1D2Aldrksl9yWWCIPOeDzy,spotify:track:1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/tracks/1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/audio-analysis/1D2Aldrksl9yWWCIPOeDzy,147840,4
850,Show Me Love - EDX Remix / Radio Edit,2020-06-30 02:30,Sam Feldt,Show Me Love - EDX Remix / Radio Edit,180336,2020-06-30 02:30:00,0.836,0.665,0,-5.779,1,0.0745,0.308,0.000925,0.0714,0.677,120.997,audio_features,4bAmAVdks2Y84VNVVLXFwN,spotify:track:4bAmAVdks2Y84VNVVLXFwN,https://api.spotify.com/v1/tracks/4bAmAVdks2Y84VNVVLXFwN,https://api.spotify.com/v1/audio-analysis/4bAmAVdks2Y84VNVVLXFwN,180336,4
851,Lalla Lalla Lori,2020-06-30 02:35,Vishal Dadlani,Lalla Lalla Lori,257049,2020-06-30 02:35:00,0.638,0.895,8,-3.255,0,0.0453,0.0947,0.0,0.104,0.729,124.95,audio_features,22WubMzx5mkCAHZHvInkpH,spotify:track:22WubMzx5mkCAHZHvInkpH,https://api.spotify.com/v1/tracks/22WubMzx5mkCAHZHvInkpH,https://api.spotify.com/v1/audio-analysis/22WubMzx5mkCAHZHvInkpH,257050,4
852,Myself,2020-06-30 02:39,Medha Sahi,Myself,204750,2020-06-30 02:39:00,0.745,0.561,9,-5.513,0,0.072,0.465,1.12e-06,0.0338,0.902,195.918,audio_features,5YLHLxoZsodDWjqSgjhBf3,spotify:track:5YLHLxoZsodDWjqSgjhBf3,https://api.spotify.com/v1/tracks/5YLHLxoZsodDWjqSgjhBf3,https://api.spotify.com/v1/audio-analysis/5YLHLxoZsodDWjqSgjhBf3,167553,4
853,Bad At Love,2020-06-30 02:42,Halsey,Bad At Love,181279,2020-06-30 02:42:00,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,3OzCF9i6Ey7EkkAYJztmKp,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/tracks/3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/audio-analysis/3OzCF9i6Ey7EkkAYJztmKp,181279,4
854,"Khalifa (From ""Lekar Hum Deewana Dil"")",2020-06-30 02:47,A.R. Rahman,"Khalifa (From ""Lekar Hum Deewana Dil"")",303597,2020-06-30 02:47:00,0.694,0.885,7,-4.703,1,0.0554,0.017,1.22e-05,0.105,0.637,119.981,audio_features,4HvKZFgYBOi5gB4ZwbS2l4,spotify:track:4HvKZFgYBOi5gB4ZwbS2l4,https://api.spotify.com/v1/tracks/4HvKZFgYBOi5gB4ZwbS2l4,https://api.spotify.com/v1/audio-analysis/4HvKZFgYBOi5gB4ZwbS2l4,303600,4
855,Solo Dance,2020-06-30 02:50,Martin Jensen,Solo Dance,174933,2020-06-30 02:50:00,0.746,0.846,9,-2.432,1,0.048,0.0485,0.0,0.195,0.403,114.955,audio_features,3R6dPfF2yBO8mHySW1XDAa,spotify:track:3R6dPfF2yBO8mHySW1XDAa,https://api.spotify.com/v1/tracks/3R6dPfF2yBO8mHySW1XDAa,https://api.spotify.com/v1/audio-analysis/3R6dPfF2yBO8mHySW1XDAa,174933,4
856,I Don't Do Love Anymore,2020-06-30 02:53,Medha Sahi,I Don't Do Love Anymore,166615,2020-06-30 02:53:00,0.59,0.234,2,-8.82,1,0.0282,0.918,4.87e-06,0.14,0.353,129.509,audio_features,65SgMuyu8DvMBzLcE1D0sP,spotify:track:65SgMuyu8DvMBzLcE1D0sP,https://api.spotify.com/v1/tracks/65SgMuyu8DvMBzLcE1D0sP,https://api.spotify.com/v1/audio-analysis/65SgMuyu8DvMBzLcE1D0sP,166615,4
857,Fire In My Soul,2020-06-30 02:55,Oliver Heldens,Fire In My Soul,120994,2020-06-30 02:55:00,0.666,0.863,9,-3.313,0,0.0712,0.28,0.0,0.158,0.841,116.505,audio_features,0dKDwt7DP0uH4XyGaVMtVP,spotify:track:0dKDwt7DP0uH4XyGaVMtVP,https://api.spotify.com/v1/tracks/0dKDwt7DP0uH4XyGaVMtVP,https://api.spotify.com/v1/audio-analysis/0dKDwt7DP0uH4XyGaVMtVP,213973,4
